"sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes","genome_length","coverage_percent","qc_status"
"SD565","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"3235828","0","0","0","0","0",NA,NA,NA,NA,NA,"No",NA,0,NA,NA,"SUB7106","SUB7106","16-Nov","SUB7105",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","no ct","NA","NA","NA",NA,"APHA",NA,11923,0,"Low coverage"
"SD571","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1771614","1655","38.67885599","15.98210641","37","0","80","11839","11703","10879","0","No",NA,98.15482681,NA,NA,"SUB7108","SUB7108","16-Nov","SUB7108",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","31.84","NA","NA","NA","Positive","APHA",NA,11923,0.823239342531242,"Low coverage"
"SD572","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"3068817","685","15.01283234","10.20333879","12","0","55","11737","10737","3517","0","No",NA,90.05283905,NA,NA,"SUB7109","SUB7109","16-Nov","SUB7109",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","33.46","NA","NA","NA","Inconclusive","APHA",NA,11923,0.75528674872096,"Low coverage"
"SD572.sg","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1097110","6","0.113478151","0.445810717","0","0","4","852","0","0","0","No",NA,0,NA,"SD572.2","SUB7110","SUB7110","16-Nov","SUB7110",NA,"Salivary_gland","Unknown","TZA: Tanzania","NA","SYBR","30.11","NA","NA","NA","Positive","APHA",NA,11923,0,"Low coverage"
"SD574","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1986926","2541","58.24515642","23.18747472","53","0","128","11852","11815","11702","706","No",NA,99.0941877,NA,NA,"SUB7111","SUB7111","16-Nov","SUB7111",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","29.05","NA","NA","NA","Positive","APHA",NA,11923,0.831117904050994,"Low coverage"
"SD575","3","Merged","3",NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,"Unknown",NA,NA,NA,"Merged runs","apha_jan17;NGSMay18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,0,NA,NA,"SUB7112","SUB7112","16-Nov","SUB7112",NA,"Brain","Unknown","TZA: Tanzania","NA","Unknown","24.75","NA","NA","NA","Positive","APHA",NA,11923,0,"Low coverage"
"SD576","3","Merged","3",NA,NA,NA,NA,NA,NA,NA,"Unknown",NA,"Unknown",NA,NA,NA,"Merged runs","rabvMulti2;NGSMay18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,NA,NA,"SUB7113","SUB7113","16-Nov","SUB7113",NA,"Brain","Unknown","TZA: Tanzania","NA","Unknown","15.76","NA","NA","NA","Positive","Glasgow;APHA",NA,11923,NA,"Low coverage"
"SD576.sg","1","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"2401639","49","1.053510023","1.319331592","1","0","7","6292","460","0","0","No",NA,3.858089407,NA,"SD576.2","SUB7114","SUB7114","16-Nov","SUB7114",NA,"Salivary_gland","Unknown","TZA: Tanzania","NA","Unknown","22.82","NA","NA","NA","Positive","APHA",NA,11923,0.0323583779837289,"Low coverage"
"SD577","3","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"1176595","503","11.49232576","5.192341797","11","0","28","11810","11142","904","0","No",NA,93.44963516,NA,"SD577.2","SUB7116","SUB7116","16-Nov","SUB7116",NA,"Brain","Unknown","TZA: Tanzania","NA","SYBR","25.94","NA","NA","NA","Positive","FIELD;APHA",NA,11923,0.783776190220582,"Low coverage"
"SD577.sg","3","NGSMay18","1","5/1/18","APHA",NA,"BTF856","Illumina",NA,NA,NA,NA,"Nextseq 500",NA,NA,NA,"Single run",NA,"2136696","0","0","0","0","0",NA,NA,NA,NA,NA,"No",NA,0,NA,"SD577","SUB7115","SUB7115","16-Nov","SUB7115",NA,"Salivary_gland","Unknown","TZA: Tanzania","NA","SYBR","29.52","NA","NA","NA","Positive","FIELD;APHA",NA,11923,0,"Low coverage"
