"sample_id","redcap_repeat_instance","ngs_runid","duplicate_id","ngs_rundate","ngs_location","ngs_provider","ngs_submission","ngs_platform","primer_scheme","primer_scheme_version","nanopore_platform","ngs_flowcell","illumina_platform","ngs_prep","ngs_barcode","ngs_library","ngs_analysis_type","ngs_merged_from","total_reads","mapped_reads","mean_depth","stdev_depth","median_depth","minimum_reads","maximum_reads","genomecov_depthx1","genomecov_depthx5","genomecov_depthx20","genomecov_depthx100","negative_control_sample","genbank_accession","consensus_coverage","consensus_fasta","ngs_notes","sample_labid","sample_sequenceid","sample_batchid","apha_sub","apha_rv","sample_tissuetype","sample_buffer","country","hmpcr_n405","rtassay","rtqpcr","lateral_flow_test","fat","drit","diagnostic_result","test_centre","diag_notes","genome_length","coverage_percent","qc_status"
"(PM/333)PMM/333/09(1703)","1","miseq4","1","7/26/13","CVR",NA,NA,"Illumina",NA,NA,NA,NA,"Miseq",NA,"N705/S503",NA,"Single run",NA,"553903","627","13.14845257","6.107788987","12","0","44","11814","11264","1817","0","No",NA,94.47286757,NA,NA,"RV2806","RV2806","11-May","SUB1703","RV2806","Brain","Unknown","TZA: Tanzania","Pos1","Unknown",NA,"NA","NA","NA","Positive","APHA;CVL",NA,11923,0.792358194833515,"Low coverage"
"(ROBMA)SD08/2009RV313(2503)1635","1","miseq3","1","7/16/13","CVR",NA,NA,"Illumina",NA,NA,NA,NA,"Miseq",NA,"N703/S502",NA,"Single run",NA,"662464","1322","28.73907574","12.81848837","28","0","72","11909","11813","8674","0","No","KR906740",99.0774134,NA,NA,"RV2503","RV2503","11-May","SUB1635","RV2503","Brain","Unknown","TZA: Tanzania","Pos1","Unknown",NA,"NA","NA","NA","Positive","APHA",NA,11923,0.830977215465906,"Low coverage"
"2_2017","1","aqp19","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26752",NA,"Amplicon","barcode03",NA,NA,NA,"15740","15248","615.4755515","381.0124213","548","0","1974","11881","11877","11877","11162","No",NA,11827,"2_2017__aqp19__instance1.fasta",NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA,11923,99.1948335150549,"High quality"
"4A-22-40","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67517",NA,"Amplicon","barcode04",NA,"Single run",NA,"37660","37660","2143.286708","719.6691412","2099","0","3920","11895","11886","11885","11676","No","NA",11785,"4A-22-40__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.7680187730473,"High quality"
"4A-22-98","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67517",NA,"Amplicon","barcode05",NA,"Single run",NA,"46433","46433","2301.151022","848.9059604","2193","0","4276","11887","11886","11885","11676","No","NA",11792,"4A-22-98__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.8266845457593,"High quality"
"4A-22-104","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67517",NA,"Amplicon","barcode06",NA,"Single run",NA,"62538","62538","2734.587663","1135.203836","2625","0","6111","11897","11677","11676","11676","No","NA",11591,"4A-22-104__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1421387864566,"High quality"
"4A-22-171","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43074",NA,"Amplicon","barcode24",NA,"Single run",NA,"40941","40941","1328.048776","819.7012991","1165","0","3971","11683","11677","11676","11669","No","NA",11597,"4A-22-171__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1924237344955,"High quality"
"4A-22-203","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43074",NA,"Amplicon","barcode25",NA,"Single run",NA,"37558","37558","1190.401022","855.1184059","1151","0","4038","11681","11392","11354","10995","No","PP858767",11261,"4A-22-203__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,94.3764666443178,"High quality"
"4B-21-29","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ72364",NA,"Amplicon","barcode06",NA,"Single run",NA,"29965","29965","1014.977204","521.3244337","952","0","2368","11897","11886","11885","11859","No","NA",11791,"4B-21-29__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.8183037210862,"High quality"
"4B-21-35","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ72364",NA,"Amplicon","barcode07",NA,"Single run",NA,"31723","31723","1093.751006","623.6411208","975","0","2662","11896","11886","11723","11216","No","NA",11593,"4B-21-35__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1589004358029,"High quality"
"4B-21-126","1","run3_21","1","17/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67614",NA,"Amplicon","barcode02",NA,"Single run",NA,"91407","91407","3955.795759","1545.948115","3821","0","8142","11895","11887","11886","11885","No","NA",11788,"4B-21-126__run3_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.7931612470667,"High quality"
"4B-21-310","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ72364",NA,"Amplicon","barcode08",NA,"Single run",NA,"87245","87245","2971.537127","1688.145724","2794","0","7448","11887","11886","11726","11722","No","NA",11591,"4B-21-310__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1421387864566,"High quality"
"4B-21-412","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ72364",NA,"Amplicon","barcode09",NA,"Single run",NA,"31268","31268","1182.667784","590.253369","1103","0","2734","11887","11886","11886","11722","No","NA",11799,"4B-21-412__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.8853503184713,"High quality"
"4B-21-421","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ72364",NA,"Amplicon","barcode10",NA,"Single run",NA,"32418","32418","1252.439826","590.5725342","1211","0","2908","11886","11886","11884","11675","No","NA",11791,"4B-21-421__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.8183037210862,"High quality"
"4B-21-423","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ72364",NA,"Amplicon","barcode11",NA,"Single run",NA,"52324","52324","1764.669963","1023.346189","1611","0","4758","11888","11885","11677","11659","No","NA",11588,"4B-21-423__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1169963124371,"High quality"
"4B-21-528","1","run4_21","1","22/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ72364",NA,"Amplicon","barcode12",NA,"Single run",NA,"33369","33369","1298.337077","643.8413943","1212","0","2932","11895","11886","11885","11513","No","NA",11801,"4B-21-528__run4_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.9021119678176,"High quality"
"4B-22-13","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43236",NA,"Amplicon","barcode73",NA,"Single run",NA,"42850","42850","1620.969997","781.9086231","1554","0","3809","11895","11885","11677","11674","No","NA",11578,"4B-22-13__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.0331880657057,"High quality"
"4B-22-15","1","run3_21","1","17/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67614",NA,"Amplicon","barcode14",NA,"Single run",NA,"88177","88177","3570.690831","1708.531267","3467","0","8098","11895","11886","11886","11884","No","NA",11799,"4B-22-15__run3_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.8853503184713,"High quality"
"4B-22-16","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43236",NA,"Amplicon","barcode74",NA,"Single run",NA,"26648","26648","1017.625796","505.1991345","946.5","0","2672","11899","11850","11676","11669","No","NA",11562,"4B-22-16__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,96.8990948709353,"High quality"
"4B-22-17","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43236",NA,"Amplicon","barcode75",NA,"Single run",NA,"21960","21960","955.9657224","429.9373452","901.5","0","2094","11890","11885","11810","11672","No","NA",11585,"4B-22-17__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.0918538384177,"High quality"
"4B-22-20","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43236",NA,"Amplicon","barcode76",NA,"Single run",NA,"33322","33322","1599.80942","685.766919","1571.5","0","3643","11887","11885","11677","11675","No","NA",11561,"4B-22-20__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,96.8907140462621,"High quality"
"4B-22-21","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43236",NA,"Amplicon","barcode77",NA,"Single run",NA,"24534","24534","1056.348978","460.411182","1028","0","2303","11895","11884","11678","11673","No","NA",11548,"4B-22-21__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,96.7817633255112,"High quality"
"4B-22-28","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43236",NA,"Amplicon","barcode78",NA,"Single run",NA,"56494","56494","2079.418622","1040.828883","1933","0","5278","11895","11885","11685","11673","No","NA",11598,"4B-22-28__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.2008045591686,"High quality"
"4B-22-30","1","run4_22","1","15/11/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43236",NA,"Amplicon","barcode79",NA,"Single run",NA,"10620","10620","702.6354341","238.615899","697","0","1310","11886","11881","11676","11673","No","NA",11463,"4B-22-30__run4_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,96.0693932282937,"High quality"
"4B-22-31","1","run5_22","1","11/12/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU03787",NA,"Amplicon","barcode66",NA,"Single run",NA,"44618","44618","1499.413761","964.4141396","1349","0","4205","11885","11859","11754","11355","No","NA",11583,"4B-22-31__run5_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.0750921890714,"High quality"
"4B-22-35","1","run5_22","1","11/12/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU03787",NA,"Amplicon","barcode67",NA,"Single run",NA,"43499","43499","1513.779836","952.2034976","1354.5","0","4453","11689","11678","11677","11245","No","NA",11584,"4B-22-35__run5_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.0834730137446,"High quality"
"4B-22-37","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43074",NA,"Amplicon","barcode14",NA,"Single run",NA,"42907","42907","1589.750251","788.4247775","1505","0","3466","11787","11676","11676","11676","No","PP858772",11592,"4B-22-37__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1505196111297,"High quality"
"4B-22-39","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43074",NA,"Amplicon","barcode15",NA,"Single run",NA,"41968","41968","1449.961197","851.9478314","1259.5","0","3429","11712","11678","11676","11370","No","PP858770",11595,"4B-22-39__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1756620851492,"High quality"
"4B-22-40","1","run5_22","1","11/12/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU03787",NA,"Amplicon","barcode68",NA,"Single run",NA,"39734","39734","1695.100067","803.4751974","1673","0","4073","11890","11885","11677","11676","No","NA",11572,"4B-22-40__run5_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,96.9829031176668,"High quality"
"4B-22-41","1","run5_22","1","11/12/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU03787",NA,"Amplicon","barcode69",NA,"Single run",NA,"63086","63086","2082.013326","1327.846029","1920.5","0","5888","11686","11685","11482","11172","No","PP858764",11274,"4B-22-41__run5_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,94.4854173650687,"High quality"
"4B-22-42","1","run5_22","1","11/12/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU03787",NA,"Amplicon","barcode70",NA,"Single run",NA,"80686","80686","2841.937395","1516.863432","2763","0","6819","11829","11710","11684","11676","No","PP858775",11603,"4B-22-42__run5_22__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.2427086825344,"High quality"
"4B-22-44","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43074",NA,"Amplicon","barcode16",NA,"Single run",NA,"73209","73209","2364.5176","1418.94092","2217","0","6259","11865","11698","11677","11668","No","PP858754",11595,"4B-22-44__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1756620851492,"High quality"
"4B-22-45","1","run10_23","1","2/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAU43074",NA,"Amplicon","barcode17",NA,"Single run",NA,"60931","60931","1958.844703","1171.851007","1813","0","5036","11702","11684","11677","11496","No","PP858773",11591,"4B-22-45__run10_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1421387864566,"High quality"
"4B-22-114","1","run3_21","1","17/02/2022","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67614",NA,"Amplicon","barcode26",NA,"Single run",NA,"73511","73511","3115.181864","1293.109941","2984","0","6372","11887","11886","11885","11873","No","NA",11792,"4B-22-114__run3_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.8266845457593,"High quality"
"4B-23-01","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode71",NA,"Single run",NA,"148701","148701","5251.437395","2650.492012","4972","0","13542","11898","11784","11678","11676","No","PP858753",11599,"4B-23-01__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.2091853838418,"High quality"
"4B-23-02","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode72",NA,"Single run",NA,"56689","56689","2863.912085","1190.82322","2785","0","6053","11891","11777","11677","11676","No","PP858752",11597,"4B-23-02__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1924237344955,"High quality"
"4B-23-03","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode73",NA,"Single run",NA,"71238","71238","2897.844368","1434.011117","2809","0","6846","11893","11886","11884","11676","No","PP858771",11807,"4B-23-03__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.9523969158565,"High quality"
"4B-23-04","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode74",NA,"Single run",NA,"115937","115937","4400.248408","2205.341577","4264","0","11035","11899","11887","11884","11676","No","PP858765",11804,"4B-23-04__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.9272544418371,"High quality"
"4B-23-05","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode75",NA,"Single run",NA,"63730","63730","2266.908314","1252.288002","2183","0","5680","11893","11793","11699","11676","No","PP858750",11588,"4B-23-05__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1169963124371,"High quality"
"4B-23-06","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode76",NA,"Single run",NA,"22835","22835","1031.598475","530.3200312","926","0","2574","11733","11678","11676","11672","No","PP858749",11596,"4B-23-06__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1840429098223,"High quality"
"4B-23-07","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode77",NA,"Single run",NA,"21344","21344","883.6055146","488.8536643","784","0","2122","11886","11777","11677","11671","No","PP858755",11596,"4B-23-07__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1840429098223,"High quality"
"4B-23-11","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode78",NA,"Single run",NA,"97843","97843","4284.652447","1887.091052","4294","0","9284","11894","11866","11712","11676","No","PP858763",11596,"4B-23-11__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1840429098223,"High quality"
"4B-23-12","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode79",NA,"Single run",NA,"5356","5356","209.0664599","95.58894212","208","0","473","11881","11677","11676","9940","No","PP858757",11593,"4B-23-12__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1589004358029,"High quality"
"4B-23-13","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode80",NA,"Single run",NA,"72962","72962","2447.54534","1698.6457","2115.5","0","7764","11814","11716","11681","11488","No","PP858758",11598,"4B-23-13__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.2008045591686,"High quality"
"4B-23-15","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode81",NA,"Single run",NA,"68151","68151","2674.935049","1361.523071","2493","0","6541","11895","11783","11681","11676","No","PP858760",11591,"4B-23-15__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1421387864566,"High quality"
"4B-23-16","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode82",NA,"Single run",NA,"79568","79568","3032.704911","1580.393229","2876.5","0","7403","11892","11789","11708","11675","No","PP858768",11595,"4B-23-16__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1756620851492,"High quality"
"4B-23-17","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode83",NA,"Single run",NA,"54399","54399","3176.05171","1174.478951","3170","0","6162","11898","11782","11677","11676","No","PP858774",11593,"4B-23-17__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1589004358029,"High quality"
"4B-23-19","1","run12_23","1","8/3/23","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAT89919",NA,"Amplicon","barcode84",NA,"Single run",NA,"99762","99762","3882.936557","2003.076178","3842.5","0","9493","11890","11780","11686","11676","No","PP858756",11594,"4B-23-19__run12_23__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.167281260476,"High quality"
"4B-2422","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67517",NA,"Amplicon","barcode07",NA,"Single run",NA,"79772","79772","2890.355263","1512.341566","2610","0","7091","11695","11679","11676","11658","No","NA",11595,"4B-2422__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,97.1756620851492,"High quality"
"4B-2922HM","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67517",NA,"Amplicon","barcode08",NA,"Single run",NA,"46432","46432","2460.547938","872.1687536","2397","0","4479","11896","11886","11885","11676","No","NA",11785,"4B-2922HM__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.7680187730473,"High quality"
"4B-2922JG","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67517",NA,"Amplicon","barcode09",NA,"Single run",NA,"70209","70209","3349.604593","1238.131459","3151","0","6344","11894","11887","11886","11885","No","NA",11782,"4B-2922JG__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.7428762990278,"High quality"
"4B-21622","1","run5_21","1","1/3/22","RITM",NA,NA,"Nanopore","rabvSEasia",NA,"Minion","FAQ67517",NA,"Amplicon","barcode10",NA,"Single run",NA,"55046","55046","2703.92055","988.5056001","2559","0","5161","11903","11888","11886","11885","No","NA",11780,"4B-21622__run5_21__instance1.fasta",NA,NA,NA,NA,NA,NA,NA,"Unknown","PHL: Philippines",NA,NA,NA,NA,NA,NA,NA,"RITM",NA,11932,98.7261146496815,"High quality"
"4_2023","1","aqp17","1",NA,"Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY26929","Unknown","Amplicon","barcode16",NA,"Single run",NA,"10307","9229","463.4199446","271.0680603","384","0","1604","11889","11879","11877","11870","No",NA,11827,"4_2023__aqp17__instance1.fasta",NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA,11923,99.1948335150549,"High quality"
"04_2025","1","aqp20","1","9/28/25","Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY41370",NA,"Amplicon","barcode24",NA,NA,NA,"2746","2724","85.71919819","179.8924253","6","0","615","11231","7145","3592","1963","No",NA,3088,"04_2025__aqp20__instance1.fasta",NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA,11923,25.8995219323996,"Low coverage"
"9_2019","1","apq21","1","2025-09-27","Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY40750",NA,"Amplicon","barcode05",NA,NA,NA,"258819","254819","10566.69798","7991.498007","8131","0","37702","11909","11881","11877","11877","No",NA,11827,"9_2019__apq21__instance1.fasta",NA,NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA,11923,99.1948335150549,"High quality"
"10_2020","1","aqp15","1","12/9/24","Zoonotic Disease Research Laboratory",NA,NA,"Nanopore","rabvPeru2","V2","Minion","FAY42760",NA,"Amplicon","barcode01",NA,NA,NA,"105317","102208","3690.693617","2404.57193","3054","0","11249","11887","11880","11878","11877","No",NA,11827,"10_2020__aqp15__instance1.fasta","ale first test run",NA,NA,NA,NA,NA,"Brain","RNAshield","PER: Peru","NA","Unknown",NA,"NA","NA","NA",NA,"Other",NA,11923,99.1948335150549,"High quality"
